stage,clusters,conductance,time_sec
1,141,0.6,0.22
2,81,0.0,0.09
3,49,0.0,0.09
4,35,0.0,0.09
5,31,0.0,0.09
6,27,0.0,0.08
7,25,0.0,0.08
8,25,0.0,0.08
9,25,0.0,0.08
10,25,0.0,0.08
11,25,0.0,0.08
12,25,0.0,0.08
13,25,0.0,0.08
14,25,0.0,0.08
15,25,0.0,0.08
16,25,0.0,0.08
17,25,0.0,0.08
18,25,0.0,0.08
19,25,0.0,0.08
20,25,0.0,0.08
21,25,0.0,0.08
22,25,0.0,0.08
23,25,0.0,0.08
24,25,0.0,0.08
25,25,0.0,0.08
26,25,0.0,0.08
27,25,0.0,0.08
28,25,0.0,0.08
29,25,0.0,0.08
30,25,0.0,0.08
